"Município";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"313320 ITANHOMI";"106,89";"71,28";"65,07";"60,76";"89,41";"78,38";"85,50";"98,84";"76,31";"75,31";"69,90";"88,50";"83,06";"85,54";"108,43";"78,58";"35,67";"95,63";"38,60";"82,44";"99,86";"46,10";"13,81";"31,99";"76,42";"79,34";"79,46"
"313330 ITAOBIM";"99,66";"70,04";"50,13";"54,47";"73,91";"76,95";"80,63";"84,92";"49,53";"72,23";"61,04";"77,96";"79,34";"73,11";"93,15";"70,35";"32,32";"84,25";"27,75";"76,94";"71,22";"27,51";"26,23";"22,61";"63,74";"78,26";"74,15"
"313340 ITAPAGIPE";"88,06";"70,28";"66,13";"85,19";"83,34";"102,99";"110,82";"93,67";"91,69";"72,18";"87,18";"112,13";"105,47";"100,30";"100,75";"86,58";"36,21";"84,65";"51,53";"101,49";"56,94";"15,67";"32,28";"50,90";"65,64";"68,30";"73,47"
"313350 ITAPECERICA";"92,76";"49,97";"61,44";"60,77";"88,11";"83,54";"92,24";"96,80";"55,00";"75,89";"73,46";"88,62";"87,03";"86,48";"114,07";"67,03";"39,20";"90,63";"32,91";"85,38";"98,29";"41,06";"31,00";"34,43";"76,39";"83,81";"81,25"
"313360 ITAPEVA";"115,93";"103,34";"95,16";"103,40";"111,01";"125,47";"129,93";"123,29";"110,77";"91,27";"109,26";"133,49";"133,40";"110,88";"132,03";"122,42";"65,39";"120,22";"75,07";"122,52";"87,13";"18,15";"50,33";"55,07";"107,43";"85,30";"96,19"
"313370 ITATIAIUCU";"66,60";"52,32";"69,79";"76,46";"89,24";"104,29";"108,15";"100,00";"83,65";"76,40";"84,11";"99,67";"98,76";"92,38";"108,57";"90,73";"46,21";"95,19";"50,92";"89,49";"81,80";"33,08";"35,19";"26,31";"70,06";"81,02";"80,49"
"313375 ITAU DE MINAS";"102,33";"84,63";"74,90";"81,80";"94,34";"110,16";"106,59";"102,48";"74,64";"80,50";"107,17";"121,24";"125,14";"119,67";"110,65";"104,78";"61,07";"93,31";"38,04";"118,65";"74,38";"29,69";"24,06";"40,88";"85,22";"79,02";"84,14"
"313380 ITAUNA";"102,73";"67,36";"62,65";"76,69";"86,06";"77,96";"88,47";"97,88";"64,97";"80,18";"71,51";"78,75";"83,06";"74,55";"115,64";"72,03";"37,49";"87,70";"38,98";"76,67";"99,54";"41,64";"36,87";"26,76";"73,63";"78,44";"78,84"
"313390 ITAVERAVA";"91,27";"71,26";"73,46";"88,09";"101,78";"139,67";"145,23";"110,79";"68,44";"73,75";"105,98";"149,89";"157,01";"130,80";"117,03";"120,23";"64,83";"92,64";"45,87";"143,22";"89,28";"26,87";"67,78";"63,78";"79,62";"79,57";"85,86"
"313400 ITINGA";"85,57";"72,31";"56,21";"66,04";"76,24";"94,35";"100,66";"83,47";"56,24";"69,39";"82,31";"97,01";"100,15";"89,70";"102,17";"85,60";"36,56";"70,43";"32,93";"94,78";"42,53";"4,99";"16,14";"29,09";"71,41";"75,89";"73,60"
"313410 ITUETA";"82,36";"58,42";"61,24";"65,21";"84,39";"78,89";"88,46";"93,06";"79,28";"72,78";"77,35";"92,70";"92,40";"90,46";"108,37";"78,99";"49,36";"89,53";"84,68";"86,89";"73,41";"41,21";"41,73";"40,10";"76,40";"78,70";"78,56"
"313420 ITUIUTABA";"108,98";"83,47";"66,07";"75,98";"85,21";"78,93";"85,35";"92,69";"83,57";"82,11";"72,93";"86,51";"88,18";"81,76";"106,35";"78,53";"32,95";"90,98";"45,27";"82,87";"96,81";"47,01";"46,30";"45,02";"70,95";"74,63";"77,89"
"313430 ITUMIRIM";"27,79";"21,78";"59,25";"59,52";"83,57";"83,89";"92,44";"93,96";"69,54";"66,31";"71,02";"89,45";"88,61";"81,57";"94,51";"62,98";"43,56";"85,94";"54,32";"86,60";"84,98";"41,51";"36,39";"39,56";"68,50";"81,85";"75,88"
"313440 ITURAMA";"105,62";"70,53";"66,21";"64,34";"86,54";"80,58";"91,35";"97,71";"88,34";"76,98";"76,19";"89,64";"90,44";"83,93";"108,44";"78,43";"37,21";"91,41";"48,59";"83,30";"82,62";"21,43";"36,52";"33,08";"74,41";"80,24";"79,87"
"313450 ITUTINGA";"78,85";"21,16";"66,21";"70,34";"97,58";"104,16";"98,92";"108,78";"89,27";"89,72";"94,20";"108,99";"111,88";"98,84";"117,73";"99,13";"64,14";"101,56";"64,45";"101,45";"101,95";"43,82";"38,59";"39,67";"66,17";"79,86";"82,89"
"313460 JABOTICATUBAS";"73,72";"50,89";"73,28";"84,09";"96,23";"103,68";"110,49";"105,70";"106,37";"81,20";"96,71";"113,16";"116,14";"113,42";"121,95";"108,67";"71,77";"96,51";"59,37";"111,33";"91,48";"31,67";"67,91";"62,10";"81,14";"79,06";"84,37"
"313470 JACINTO";"82,36";"69,30";"61,61";"63,53";"78,35";"96,22";"96,08";"90,86";"55,41";"64,27";"81,95";"98,70";"100,37";"93,12";"104,06";"88,09";"40,00";"85,25";"30,69";"93,40";"60,65";"22,48";"39,54";"33,13";"73,13";"76,33";"75,55"
"313480 JACUI";"76,38";"45,30";"75,67";"78,71";"98,08";"113,59";"115,85";"110,02";"90,12";"92,26";"90,46";"118,82";"123,39";"120,70";"123,17";"101,61";"65,75";"100,52";"45,57";"113,71";"85,23";"35,18";"38,39";"44,16";"84,73";"79,73";"84,84"
"313490 JACUTINGA";"107,94";"89,36";"70,85";"70,67";"95,90";"92,53";"100,39";"99,24";"54,79";"75,43";"70,05";"93,43";"92,99";"82,95";"99,18";"76,18";"28,42";"94,57";"27,41";"86,82";"92,10";"17,59";"18,23";"30,40";"75,54";"75,49";"77,93"
"313500 JAGUARACU";"77,95";"18,91";"67,08";"71,91";"84,81";"94,16";"101,87";"90,33";"65,79";"74,35";"84,73";"110,18";"100,00";"88,00";"108,49";"93,09";"41,46";"80,32";"51,08";"103,27";"50,61";"25,76";"37,82";"33,70";"76,50";"83,41";"80,19"
"313505 JAIBA";"87,71";"44,26";"62,60";"63,64";"84,56";"79,80";"83,27";"90,35";"53,70";"80,86";"67,01";"84,91";"88,26";"78,31";"112,97";"67,32";"40,64";"86,82";"33,13";"79,03";"70,47";"20,99";"30,19";"27,76";"77,76";"81,96";"77,72"
"313507 JAMPRUCA";"80,91";"69,76";"60,71";"66,83";"69,83";"89,17";"98,60";"92,09";"63,08";"64,68";"81,24";"108,74";"105,46";"79,60";"101,85";"101,28";"59,47";"81,43";"51,90";"89,44";"67,07";"10,48";"36,99";"36,43";"68,87";"78,19";"76,61"
"313510 JANAUBA";"109,55";"108,18";"59,88";"63,87";"80,04";"79,32";"86,75";"91,35";"65,22";"74,75";"72,24";"83,95";"88,20";"81,30";"97,75";"67,07";"32,68";"81,57";"40,11";"77,03";"73,46";"20,96";"38,31";"34,76";"69,66";"76,79";"76,34"
"313520 JANUARIA";"115,35";"55,35";"54,39";"57,69";"77,23";"72,35";"79,14";"88,25";"46,04";"78,36";"64,37";"78,58";"79,16";"75,85";"108,71";"64,12";"35,19";"84,52";"28,84";"74,95";"85,14";"24,48";"47,84";"37,79";"73,34";"80,37";"77,30"
"313530 JAPARAIBA";"76,96";"93,71";"85,99";"86,84";"97,82";"120,99";"130,20";"109,88";"94,27";"93,31";"106,53";"132,40";"129,37";"122,61";"111,58";"112,12";"56,97";"96,35";"63,46";"125,17";"57,42";"24,58";"41,83";"55,87";"80,29";"84,46";"89,23"
"313535 JAPONVAR";"26,48";"34,64";"64,98";"64,01";"92,10";"96,82";"98,07";"108,11";"79,92";"84,41";"81,41";"100,12";"107,39";"84,99";"108,96";"96,88";"53,05";"95,24";"45,83";"100,81";"110,80";"31,75";"48,12";"35,68";"76,73";"72,07";"75,29"
"313540 JECEABA";"152,35";"221,49";"87,58";"101,13";"98,75";"128,70";"138,62";"113,23";"131,50";"81,86";"108,63";"136,95";"140,16";"129,12";"115,40";"115,86";"67,67";"96,22";"96,26";"128,11";"94,25";"22,98";"70,95";"74,48";"78,66";"85,57";"95,63"
"313545 JENIPAPO DE MINAS";"120,07";"90,97";"59,62";"70,70";"83,02";"99,71";"107,05";"99,55";"38,94";"83,35";"71,00";"99,68";"93,34";"93,50";"147,20";"92,39";"78,28";"98,79";"30,42";"98,89";"85,76";"20,75";"41,23";"27,48";"89,34";"88,64";"87,60"
"313550 JEQUERI";"80,98";"31,12";"58,56";"61,96";"83,20";"86,01";"91,20";"89,33";"69,44";"75,92";"84,67";"100,00";"98,61";"97,78";"113,44";"89,57";"30,85";"79,64";"35,56";"92,71";"81,70";"16,98";"33,60";"32,90";"70,53";"81,94";"78,83"
"313560 JEQUITAI";"58,74";"40,16";"66,54";"77,57";"92,64";"97,44";"98,57";"101,66";"71,61";"85,06";"77,31";"101,04";"101,83";"85,66";"126,62";"75,36";"40,94";"88,65";"35,43";"94,39";"87,53";"21,04";"10,61";"11,80";"83,81";"83,06";"81,04"
"313570 JEQUITIBA";"77,02";"83,09";"69,07";"89,88";"89,98";"100,74";"104,29";"101,31";"94,43";"81,09";"94,15";"107,52";"106,68";"101,46";"123,78";"88,94";"37,16";"89,49";"48,64";"100,84";"59,72";"35,49";"38,22";"43,52";"72,75";"82,79";"83,29"
"313580 JEQUITINHONHA";"102,10";"61,74";"52,84";"46,52";"82,48";"67,38";"74,39";"89,35";"43,26";"74,89";"64,48";"77,79";"77,24";"79,60";"123,55";"61,44";"22,26";"85,36";"47,10";"73,86";"86,70";"23,71";"24,73";"23,72";"73,66";"83,85";"78,94"
"313590 JESUANIA";"85,74";"47,40";"67,67";"76,03";"82,58";"102,11";"111,19";"99,93";"106,69";"75,92";"88,71";"101,81";"106,77";"102,48";"113,17";"97,97";"52,05";"91,69";"107,53";"104,97";"57,14";"31,58";"47,00";"42,56";"73,74";"83,24";"83,31"
"313600 JOAIMA";"101,18";"75,46";"58,20";"56,62";"87,21";"88,59";"89,65";"90,54";"65,28";"67,97";"74,01";"97,88";"96,15";"91,63";"98,39";"82,04";"36,10";"82,88";"34,50";"89,74";"73,40";"32,11";"23,59";"34,46";"70,92";"76,34";"76,14"
"313610 JOANESIA";"68,39";"27,81";"51,28";"65,23";"82,87";"89,29";"89,45";"96,00";"77,92";"77,76";"77,78";"106,55";"104,84";"90,88";"103,72";"91,74";"53,94";"89,39";"79,22";"99,72";"80,86";"32,32";"31,74";"39,33";"68,43";"81,45";"79,55"
"313620 JOAO MONLEVADE";"104,85";"44,03";"68,95";"82,38";"89,00";"84,79";"92,84";"100,30";"76,66";"75,47";"76,57";"90,06";"94,16";"90,27";"107,15";"86,18";"50,93";"95,08";"41,95";"90,31";"93,09";"49,01";"49,73";"39,77";"72,40";"80,34";"81,53"
"313630 JOAO PINHEIRO";"106,01";"49,87";"66,26";"67,76";"86,77";"78,24";"87,97";"101,50";"57,81";"83,97";"62,15";"81,83";"84,04";"75,91";"104,85";"76,78";"38,03";"96,33";"32,33";"81,70";"90,66";"43,94";"32,01";"22,61";"76,87";"84,49";"81,68"
"313640 JOAQUIM FELICIO";"71,50";"11,59";"53,93";"50,25";"88,73";"66,24";"82,91";"96,76";"37,04";"86,45";"50,43";"69,57";"74,20";"65,51";"113,89";"62,03";"52,26";"92,64";"23,45";"66,67";"63,86";"26,77";"15,15";"19,67";"88,57";"87,16";"79,73"
"313650 JORDANIA";"80,54";"42,58";"67,55";"82,46";"94,14";"100,65";"107,89";"96,95";"60,28";"72,19";"82,70";"106,65";"110,54";"97,85";"123,68";"93,24";"50,85";"90,26";"33,05";"102,05";"59,39";"26,53";"34,45";"45,53";"79,31";"81,84";"81,41"
"313652 JOSE GONCALVES DE MINAS";"102,29";"62,55";"50,68";"59,83";"81,96";"71,97";"89,60";"96,42";"55,11";"72,01";"58,91";"80,16";"82,59";"75,30";"121,33";"78,34";"51,68";"92,73";"22,04";"77,13";"81,87";"4,86";"41,60";"35,66";"81,94";"92,90";"84,30"
"313655 JOSE RAYDAN";"120,87";"60,39";"67,14";"71,80";"90,87";"93,61";"106,62";"105,36";"65,79";"92,97";"90,37";"103,23";"102,41";"94,97";"132,35";"100,00";"76,97";"100,34";"32,31";"94,75";"179,04";"47,82";"31,22";"26,47";"81,36";"82,74";"86,72"
"313657 JOSENOPOLIS";"64,11";"24,40";"59,09";"45,10";"92,33";"71,99";"86,25";"105,01";"30,00";"89,99";"64,49";"90,34";"89,13";"80,68";"120,73";"81,40";"40,86";"98,76";"19,69";"87,92";"82,88";"27,85";"21,84";"14,32";"90,53";"85,00";"81,17"
"313660 NOVA UNIAO";"94,20";"55,08";"75,35";"77,64";"103,21";"102,56";"116,04";"112,17";"65,77";"95,66";"97,63";"105,93";"104,41";"121,36";"120,61";"95,08";"64,21";"102,23";"42,59";"101,36";"77,62";"30,70";"54,97";"36,84";"83,95";"87,69";"89,10"
"313665 JUATUBA";"60,95";"44,02";"77,02";"82,79";"96,69";"95,54";"103,22";"102,99";"95,12";"81,20";"84,38";"96,46";"99,68";"98,79";"105,75";"96,32";"60,69";"102,11";"46,06";"92,40";"82,45";"29,41";"61,23";"51,78";"88,06";"83,04";"83,65"
"313670 JUIZ DE FORA";"111,45";"82,05";"58,30";"74,56";"80,20";"72,94";"81,84";"84,34";"62,40";"64,93";"66,95";"79,68";"78,25";"80,15";"98,56";"72,20";"38,07";"81,84";"33,97";"72,34";"75,72";"31,59";"45,99";"52,97";"67,65";"68,99";"71,78"
"313680 JURAMENTO";"10,82";"11,65";"71,32";"76,17";"97,88";"99,77";"115,61";"104,16";"74,05";"93,87";"94,18";"105,06";"109,37";"104,05";"111,16";"94,68";"56,36";"95,89";"36,17";"106,33";"59,17";"20,79";"28,71";"53,30";"87,08";"84,20";"81,71"
"313690 JURUAIA";"98,92";"85,81";"70,18";"71,53";"88,86";"94,77";"103,76";"99,85";"112,84";"83,04";"90,75";"105,20";"109,52";"96,12";"103,45";"101,67";"43,56";"94,29";"67,91";"99,21";"80,71";"31,82";"54,38";"64,87";"69,64";"77,95";"82,52"
"313695 JUVENILIA";"64,33";"40,76";"47,73";"54,33";"66,73";"75,25";"86,94";"79,77";"50,85";"67,25";"56,53";"72,29";"80,41";"72,45";"89,36";"62,42";"26,67";"67,70";"28,21";"77,23";"42,30";"15,49";"26,89";"23,81";"63,12";"81,02";"71,05"
"313700 LADAINHA";"73,39";"53,41";"55,19";"62,01";"79,71";"87,71";"91,68";"99,91";"59,34";"72,56";"82,33";"97,54";"96,20";"98,27";"103,79";"99,33";"43,72";"89,14";"31,62";"96,20";"69,02";"18,27";"34,60";"50,29";"74,33";"83,90";"79,64"
"313710 LAGAMAR";"110,66";"61,40";"67,98";"71,51";"96,13";"100,87";"109,06";"111,97";"65,03";"83,10";"82,98";"98,47";"96,75";"95,03";"115,73";"100,96";"63,61";"99,20";"46,68";"94,65";"97,97";"28,78";"19,96";"23,95";"78,52";"84,86";"85,90"
"313720 LAGOA DA PRATA";"106,45";"84,25";"69,90";"80,53";"91,17";"97,37";"105,77";"103,67";"76,08";"80,67";"82,77";"102,62";"103,23";"97,67";"109,79";"93,35";"41,64";"95,02";"37,99";"94,64";"80,93";"41,32";"49,78";"47,90";"73,90";"77,67";"81,93"
"313730 LAGOA DOS PATOS";"61,58";"33,52";"61,00";"71,13";"88,68";"94,09";"104,64";"103,95";"62,23";"84,54";"88,09";"96,95";"96,68";"104,16";"128,76";"87,53";"50,96";"91,48";"67,63";"98,89";"74,02";"20,30";"36,73";"42,82";"84,06";"80,83";"80,90"
"313740 LAGOA DOURADA";"92,29";"61,94";"63,17";"67,72";"87,51";"87,94";"99,82";"98,99";"81,12";"80,93";"81,05";"99,28";"101,27";"102,47";"106,78";"88,61";"41,84";"91,77";"41,33";"95,06";"69,04";"34,65";"26,43";"31,83";"71,93";"75,27";"77,78"
"313750 LAGOA FORMOSA";"102,62";"51,53";"73,68";"84,62";"90,39";"103,29";"106,01";"103,92";"83,16";"83,47";"86,75";"107,66";"104,26";"99,73";"112,15";"84,69";"34,95";"96,60";"43,54";"96,21";"94,24";"36,61";"33,89";"48,34";"77,38";"80,06";"83,05"
"313753 LAGOA GRANDE";"97,23";"36,73";"73,29";"76,19";"95,50";"107,14";"116,00";"106,78";"69,09";"80,11";"91,27";"112,73";"117,21";"112,00";"118,09";"86,30";"38,65";"97,98";"49,94";"111,76";"76,13";"36,40";"39,57";"43,84";"83,44";"85,01";"86,47"
"313760 LAGOA SANTA";"93,30";"59,56";"69,76";"70,90";"102,09";"83,32";"93,42";"97,97";"90,77";"75,70";"77,40";"86,48";"88,18";"83,00";"104,63";"73,39";"33,83";"93,40";"47,34";"80,63";"89,08";"39,91";"27,66";"32,48";"76,48";"75,60";"77,81"
"313770 LAJINHA";"107,83";"73,24";"62,86";"71,30";"85,09";"81,02";"97,29";"93,53";"58,27";"75,09";"59,19";"76,30";"83,05";"71,10";"105,49";"65,26";"32,50";"89,53";"32,49";"76,46";"116,38";"25,66";"20,05";"32,87";"71,90";"86,01";"81,21"
"313780 LAMBARI";"105,07";"73,78";"69,52";"70,36";"89,03";"84,47";"92,09";"103,55";"71,81";"77,47";"83,19";"99,49";"103,70";"99,69";"109,55";"94,91";"33,28";"96,99";"34,88";"97,33";"93,61";"46,69";"44,13";"44,67";"77,15";"82,86";"83,59"
"313790 LAMIM";"101,89";"36,61";"61,89";"64,23";"97,07";"89,18";"98,17";"108,96";"58,13";"81,65";"75,59";"91,19";"97,29";"91,53";"114,02";"79,32";"54,15";"99,11";"30,53";"88,14";"123,51";"47,77";"36,30";"38,15";"77,16";"78,86";"81,47"
"313800 LARANJAL";"98,46";"84,30";"77,78";"92,35";"97,63";"108,18";"123,02";"120,80";"61,40";"80,46";"76,96";"106,58";"107,34";"90,63";"143,26";"84,05";"54,28";"102,31";"48,80";"95,19";"91,60";"19,60";"24,70";"28,96";"84,86";"86,37";"88,37"
"313810 LASSANCE";"64,06";"46,07";"60,88";"69,12";"79,53";"92,56";"97,46";"89,73";"65,10";"76,63";"86,64";"101,57";"102,20";"102,67";"99,44";"95,28";"44,72";"79,52";"47,56";"102,52";"56,85";"21,37";"37,44";"40,00";"69,05";"80,52";"77,66"
"313820 LAVRAS";"130,62";"98,75";"63,75";"82,87";"81,36";"81,25";"86,20";"92,80";"75,53";"70,34";"69,36";"80,82";"82,90";"75,25";"99,25";"78,12";"37,84";"88,95";"40,23";"76,89";"86,02";"41,15";"39,90";"38,08";"68,31";"77,78";"78,82"
"313830 LEANDRO FERREIRA";"50,76";"48,55";"80,20";"95,34";"96,34";"119,02";"131,40";"103,26";"104,33";"98,17";"124,64";"139,49";"137,68";"144,20";"125,42";"135,14";"92,57";"89,81";"54,25";"136,23";"66,91";"31,89";"61,75";"57,89";"78,65";"89,51";"90,85"
"313835 LEME DO PRADO";"105,18";"57,05";"71,42";"71,68";"103,37";"103,93";"114,59";"106,67";"58,93";"95,85";"89,49";"105,37";"109,40";"108,95";"129,07";"102,01";"66,20";"106,50";"58,40";"106,71";"83,55";"17,57";"41,01";"38,71";"109,31";"105,03";"99,09"
"313840 LEOPOLDINA";"106,83";"90,68";"63,61";"72,74";"86,16";"79,86";"87,48";"96,33";"72,11";"72,16";"66,97";"86,51";"82,00";"76,48";"104,21";"79,18";"30,77";"91,15";"37,18";"79,53";"90,24";"19,19";"40,00";"39,00";"70,99";"76,63";"77,49"
"313850 LIBERDADE";"97,59";"90,40";"64,67";"71,22";"83,35";"101,66";"112,81";"109,14";"81,09";"71,30";"103,72";"103,10";"113,31";"100,93";"111,90";"101,55";"75,82";"96,34";"81,93";"112,07";"76,15";"26,68";"62,99";"56,82";"80,14";"89,45";"88,46"
"313860 LIMA DUARTE";"68,49";"43,06";"65,33";"62,26";"92,72";"81,34";"94,47";"104,95";"65,19";"73,52";"66,24";"89,62";"87,26";"84,03";"119,29";"78,44";"39,23";"96,58";"34,32";"78,64";"79,49";"26,95";"37,94";"34,18";"84,27";"81,54";"79,63"
"313862 LIMEIRA DO OESTE";"100,45";"81,26";"75,27";"86,57";"90,84";"101,63";"110,30";"107,32";"106,98";"95,91";"84,15";"107,92";"113,21";"88,93";"123,34";"71,32";"36,20";"101,03";"77,00";"103,27";"79,91";"16,59";"24,42";"54,97";"81,38";"89,27";"89,32"
"313865 LONTRA";"21,53";"37,58";"64,48";"68,14";"83,82";"95,87";"99,10";"89,04";"82,26";"70,48";"86,81";"104,62";"105,38";"102,86";"100,58";"100,77";"55,91";"84,07";"54,83";"98,35";"62,43";"18,41";"56,52";"55,74";"65,34";"70,74";"72,03"
"313867 LUISBURGO";"65,95";"66,45";"63,18";"70,15";"84,19";"84,84";"96,01";"94,73";"85,59";"77,50";"68,36";"96,56";"99,76";"89,45";"100,58";"92,54";"60,43";"87,77";"87,80";"95,02";"75,72";"21,52";"64,22";"55,98";"74,81";"79,07";"79,25"
"313868 LUISLANDIA";"32,26";"47,23";"66,10";"69,59";"84,38";"86,97";"95,38";"91,68";"45,97";"79,15";"68,60";"86,68";"90,63";"87,86";"108,56";"78,36";"40,72";"84,24";"38,87";"86,41";"57,13";"22,31";"36,67";"40,40";"76,50";"77,93";"74,85"
"313870 LUMINARIAS";"57,53";"37,15";"61,83";"68,47";"74,51";"92,03";"103,30";"92,44";"46,39";"66,17";"81,31";"91,59";"97,43";"96,96";"101,64";"103,04";"77,19";"86,39";"32,33";"89,02";"64,40";"32,27";"19,63";"17,76";"68,01";"78,03";"75,38"
"313880 LUZ";"93,06";"65,29";"71,59";"77,99";"92,34";"105,50";"107,34";"102,27";"107,06";"83,74";"97,21";"109,45";"115,69";"109,63";"113,06";"102,48";"41,97";"90,30";"51,90";"111,33";"68,81";"37,63";"58,33";"57,53";"70,93";"78,71";"82,87"
"313890 MACHACALIS";"116,37";"70,10";"66,09";"61,84";"86,25";"94,01";"93,94";"101,37";"68,53";"79,67";"81,33";"100,00";"97,91";"89,30";"99,96";"90,86";"77,37";"91,50";"38,59";"90,21";"104,46";"12,45";"29,57";"32,33";"73,19";"83,62";"83,02"
"313900 MACHADO";"108,74";"80,16";"66,25";"74,53";"87,52";"85,20";"93,42";"97,52";"74,85";"76,79";"84,34";"95,99";"96,70";"96,82";"102,59";"93,77";"50,79";"88,36";"46,18";"88,98";"83,55";"35,57";"58,80";"55,85";"72,27";"75,47";"79,49"
"313910 MADRE DE DEUS DE MINAS";"82,89";"67,92";"60,72";"68,84";"82,52";"85,17";"102,36";"97,49";"87,34";"79,20";"77,43";"96,46";"97,12";"93,36";"105,03";"90,71";"39,89";"93,98";"46,77";"92,26";"71,47";"34,14";"26,90";"36,29";"73,34";"78,26";"78,66"
"313920 MALACACHETA";"111,25";"133,28";"53,76";"57,84";"84,81";"85,87";"87,17";"92,91";"73,45";"67,37";"84,60";"96,13";"96,72";"96,32";"105,68";"94,93";"51,31";"85,30";"35,69";"93,59";"82,24";"18,61";"17,06";"46,28";"65,11";"77,08";"78,07"
"313925 MAMONAS";"68,66";"55,09";"68,01";"67,72";"85,77";"96,24";"100,95";"90,19";"76,97";"82,54";"91,68";"102,49";"104,16";"102,29";"116,33";"107,07";"69,97";"81,28";"51,61";"103,12";"72,23";"21,40";"86,57";"81,34";"73,31";"76,03";"78,64"
"313930 MANGA";"120,90";"119,55";"64,79";"69,65";"89,76";"97,02";"103,20";"101,22";"76,67";"70,03";"74,65";"95,71";"93,47";"87,63";"109,64";"82,44";"40,17";"92,31";"53,25";"91,92";"68,38";"24,51";"51,20";"44,34";"79,26";"79,08";"81,75"
"313940 MANHUACU";"139,70";"110,09";"61,89";"58,98";"83,37";"72,90";"79,00";"91,90";"56,33";"70,57";"59,73";"74,64";"75,51";"71,07";"99,54";"67,22";"32,95";"89,07";"32,84";"69,40";"88,72";"39,92";"34,21";"32,16";"71,68";"80,50";"78,86"
"313950 MANHUMIRIM";"99,59";"55,42";"61,21";"61,11";"92,74";"77,50";"84,69";"111,82";"60,71";"73,50";"60,70";"80,56";"81,99";"72,56";"109,41";"63,85";"27,32";"92,80";"33,59";"72,35";"89,00";"37,99";"36,34";"34,57";"71,97";"81,54";"79,66"
"313960 MANTENA";"105,29";"90,98";"69,12";"74,48";"89,66";"105,80";"108,59";"101,49";"77,74";"79,02";"89,62";"112,93";"115,25";"106,15";"112,59";"105,19";"59,81";"94,77";"38,47";"106,67";"89,61";"38,75";"64,87";"62,13";"75,58";"77,99";"83,08"
"313970 MARAVILHAS";"70,44";"65,52";"66,73";"66,62";"93,91";"99,22";"100,92";"104,25";"58,60";"81,62";"83,51";"113,94";"113,94";"107,95";"113,52";"97,45";"44,29";"97,54";"29,60";"106,15";"80,24";"33,19";"29,60";"25,23";"78,77";"77,82";"80,03"
"313980 MAR DE ESPANHA";"82,37";"33,49";"70,76";"82,23";"89,01";"95,10";"105,71";"97,24";"105,69";"80,07";"90,20";"118,71";"104,02";"93,57";"113,67";"82,17";"32,31";"92,00";"59,72";"99,68";"66,08";"29,39";"35,55";"52,40";"72,96";"79,44";"80,91"
"313990 MARIA DA FE";"101,13";"83,43";"64,84";"74,14";"87,85";"99,94";"105,21";"102,54";"89,43";"66,12";"81,86";"112,18";"109,43";"91,81";"114,71";"97,12";"56,32";"94,72";"45,22";"98,95";"79,20";"15,83";"34,30";"38,39";"74,49";"81,38";"82,41"
"314000 MARIANA";"104,98";"81,04";"70,85";"71,03";"85,30";"92,57";"95,01";"100,14";"108,58";"77,55";"85,35";"95,08";"95,00";"98,68";"101,14";"95,41";"51,25";"92,58";"67,90";"94,33";"85,61";"32,48";"40,59";"37,01";"75,12";"81,80";"82,98"
"314010 MARILAC";"61,22";"21,35";"55,91";"69,14";"97,82";"93,27";"100,16";"107,70";"63,40";"71,65";"79,07";"91,54";"97,89";"97,46";"120,90";"79,70";"50,26";"101,42";"35,23";"101,06";"80,44";"19,44";"33,33";"34,38";"82,06";"84,04";"81,27"
"314015 MARIO CAMPOS";"69,56";"46,31";"78,13";"79,47";"106,69";"102,13";"101,24";"109,24";"94,77";"98,61";"87,64";"96,81";"101,45";"83,95";"123,12";"71,36";"37,21";"102,85";"52,39";"96,42";"95,03";"43,27";"23,32";"23,50";"80,34";"88,53";"87,14"
"314020 MARIPA DE MINAS";"36,31";"42,46";"88,07";"94,20";"106,03";"120,43";"125,83";"113,07";"114,18";"96,86";"97,62";"131,75";"125,79";"126,98";"139,69";"111,90";"64,00";"108,23";"56,75";"132,54";"78,32";"33,92";"59,50";"77,00";"98,24";"83,88";"89,36"
"314030 MARLIERIA";"100,84";"48,99";"65,73";"73,22";"98,78";"99,77";"111,93";"105,35";"83,33";"78,52";"87,69";"111,81";"106,78";"93,72";"116,94";"91,96";"58,01";"99,28";"59,56";"94,72";"74,62";"37,12";"21,26";"32,02";"81,80";"85,41";"85,74"
"314040 MARMELOPOLIS";"73,79";"73,03";"59,75";"70,77";"85,08";"102,37";"105,17";"101,09";"121,64";"70,25";"87,83";"117,43";"110,86";"104,61";"110,91";"110,20";"44,63";"87,66";"120,90";"107,57";"78,76";"16,31";"59,92";"68,09";"65,10";"77,72";"80,15"
