"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"24 Rio Grande do Norte";"102,82";"70,49";"55,39";"57,28";"68,97";"71,75";"78,13";"86,17";"48,17";"0,96";"59,86";"78,41";"78,97";"71,14";"94,40";"64,40";"37,46";"82,95";"32,65";"69,66";"79,94";"18,50";"41,94";"35,49";"70,79";"74,39";"69,74"
"25 Paraíba";"105,56";"69,97";"60,39";"55,55";"75,57";"79,40";"83,75";"92,50";"55,03";"1,56";"64,66";"79,28";"78,45";"75,07";"104,81";"66,70";"34,69";"86,05";"34,26";"71,29";"77,32";"23,83";"39,83";"35,46";"71,96";"77,31";"72,86"
"26 Pernambuco";"112,19";"73,68";"62,26";"56,81";"76,05";"81,05";"86,49";"103,18";"54,32";"3,55";"67,23";"83,68";"86,42";"77,81";"98,92";"71,02";"40,81";"88,86";"34,00";"76,22";"94,92";"21,44";"52,93";"45,49";"76,94";"80,06";"75,96"
"27 Alagoas";"103,88";"71,77";"53,86";"52,38";"73,53";"78,82";"78,94";"85,61";"56,32";"1,35";"68,43";"82,45";"81,10";"77,21";"93,72";"68,00";"39,48";"75,90";"33,62";"75,08";"69,27";"20,08";"48,67";"40,26";"70,69";"77,92";"71,42"
"28 Sergipe";"103,92";"82,75";"62,81";"59,49";"77,79";"78,12";"84,00";"95,77";"59,88";"0,81";"65,15";"82,87";"84,40";"75,85";"104,35";"72,31";"39,32";"90,57";"33,89";"77,02";"90,73";"26,36";"40,64";"31,02";"74,10";"79,55";"74,96"
"29 Bahia";"101,04";"64,63";"53,03";"58,34";"69,83";"69,99";"73,76";"86,81";"45,10";"65,90";"61,81";"74,31";"78,31";"69,07";"103,32";"66,33";"36,26";"81,72";"30,36";"71,86";"77,30";"22,73";"35,32";"31,83";"71,42";"75,85";"72,96"
"31 Minas Gerais";"99,04";"71,59";"64,55";"74,06";"86,44";"84,55";"91,75";"95,16";"73,09";"75,69";"74,70";"88,29";"90,88";"84,40";"106,01";"81,05";"39,62";"88,70";"41,66";"84,03";"81,78";"33,54";"33,28";"37,51";"72,36";"77,95";"78,52"
"32 Espírito Santo";"102,05";"72,67";"66,62";"63,51";"94,94";"82,18";"90,52";"100,98";"71,33";"20,56";"73,42";"87,38";"87,94";"79,70";"105,38";"79,83";"42,00";"93,10";"40,82";"74,25";"91,54";"25,27";"51,77";"50,36";"76,08";"78,67";"77,52"
"33 Rio de Janeiro";"108,32";"64,07";"59,04";"64,61";"74,90";"77,09";"76,98";"97,40";"53,83";"7,65";"65,90";"77,12";"77,36";"69,06";"102,61";"70,11";"41,32";"88,83";"31,48";"64,52";"86,78";"30,18";"38,18";"41,04";"68,84";"72,34";"70,90"
"35 São Paulo";"104,74";"71,49";"65,32";"75,46";"81,03";"81,57";"87,43";"97,06";"75,12";"19,33";"69,36";"83,58";"85,48";"80,98";"104,49";"80,30";"48,47";"91,90";"40,80";"77,17";"98,54";"29,24";"37,27";"35,20";"71,87";"71,24";"73,09"
"41 Paraná";"102,39";"63,45";"64,71";"67,96";"89,18";"84,06";"89,47";"95,69";"77,27";"40,41";"73,77";"87,11";"89,79";"78,68";"102,49";"83,37";"68,94";"91,41";"46,84";"77,58";"91,36";"28,86";"34,30";"39,85";"72,61";"74,67";"75,91"
"42 Santa Catarina";"100,79";"72,86";"69,65";"73,81";"89,46";"85,23";"94,10";"96,06";"89,19";"20,22";"76,86";"89,71";"92,27";"83,76";"103,30";"84,39";"72,22";"90,61";"45,89";"79,88";"89,04";"27,06";"41,88";"42,62";"73,40";"73,79";"75,68"
"43 Rio Grande do Sul";"99,65";"66,56";"59,81";"63,16";"75,79";"80,93";"84,25";"91,75";"76,40";"23,73";"70,25";"81,75";"84,25";"77,84";"94,80";"78,42";"64,95";"86,80";"42,39";"73,72";"84,64";"22,88";"33,45";"34,51";"68,16";"73,12";"72,07"
"50 Mato Grosso do Sul";"108,89";"86,54";"70,74";"72,72";"85,28";"91,91";"95,33";"99,73";"83,63";"90,13";"76,68";"96,02";"96,52";"91,87";"107,29";"79,90";"70,64";"93,35";"45,17";"88,62";"85,49";"26,89";"50,07";"45,22";"77,41";"76,80";"81,34"
"51 Mato Grosso";"104,27";"78,90";"63,28";"64,81";"73,96";"81,45";"84,03";"96,61";"67,14";"80,92";"70,06";"84,23";"86,70";"78,28";"101,69";"75,80";"66,93";"87,83";"39,46";"76,63";"85,87";"22,81";"44,10";"40,64";"75,35";"76,43";"77,45"
"52 Goiás";"105,08";"65,32";"63,54";"67,06";"75,23";"79,20";"84,67";"92,49";"64,72";"81,11";"68,94";"81,22";"83,38";"76,38";"103,64";"74,14";"61,03";"88,13";"35,05";"68,49";"83,93";"27,89";"31,48";"39,05";"72,67";"80,41";"78,38"
"53 Distrito Federal";"110,84";"93,70";"65,17";"58,44";"88,76";"83,89";"86,10";"95,06";"76,15";"30,61";"74,46";"87,30";"90,01";"81,42";"96,44";"86,81";"71,97";"88,31";"40,19";"79,32";"5,74";"41,94";"53,89";"45,91";"70,22";"101,36";"84,58"
"Total";"105,01";"70,52";"61,04";"64,52";"78,34";"79,04";"83,28";"94,10";"62,62";"39,47";"67,92";"81,71";"83,74";"76,62";"101,79";"74,55";"49,09";"87,42";"36,75";"74,31";"85,98";"26,01";"39,76";"37,93";"71,98";"75,71";"74,57"
